x-axis,1,2,3
second,Volt,Volt,Volt
-3.400E-03,-90.148E-03,+14.717E-03,-10.250E-03
-3.300E-03,-91.253E-03,+14.717E-03,-10.953E-03
-3.200E-03,-90.952E-03,+14.717E-03,-10.953E-03
-3.100E-03,-91.253E-03,+14.717E-03,-10.903E-03
-3.000E-03,-91.253E-03,+14.717E-03,-10.702E-03
-2.900E-03,-90.349E-03,+15.621E-03,-10.953E-03
-2.800E-03,-91.253E-03,+14.717E-03,-10.350E-03
-2.700E-03,-88.741E-03,+14.717E-03,-10.099E-03
-2.600E-03,-88.741E-03,+14.717E-03,-9.697E-03
-2.500E-03,-88.741E-03,+14.717E-03,-9.697E-03
-2.400E-03,-88.741E-03,+14.717E-03,-10.953E-03
-2.300E-03,-88.741E-03,+14.717E-03,-10.953E-03
-2.200E-03,-89.947E-03,+14.717E-03,-9.697E-03
-2.100E-03,-89.645E-03,+14.717E-03,-10.501E-03
-2.000E-03,-88.741E-03,+14.717E-03,-9.697E-03
-1.900E-03,-91.253E-03,+14.717E-03,-9.747E-03
-1.800E-03,-88.741E-03,+14.717E-03,-10.953E-03
-1.700E-03,-89.444E-03,+14.717E-03,-10.049E-03
-1.600E-03,-88.741E-03,+17.229E-03,-10.953E-03
-1.500E-03,-90.248E-03,+15.722E-03,-10.953E-03
-1.400E-03,-91.253E-03,+14.717E-03,-10.953E-03
-1.300E-03,-88.741E-03,+17.229E-03,-10.853E-03
-1.200E-03,-151.354E-03,-45.183E-03,-10.953E-03
-1.100E-03,-200.600E-03,-78.248E-03,-10.953E-03
-1.000E-03,-62.107E-03,+60.445E-03,-9.697E-03
-900E-06,-89.846E-03,+26.174E-03,-9.144E-03
-800E-06,-89.444E-03,+25.470E-03,-9.697E-03
-700E-06,-90.952E-03,+26.978E-03,-9.697E-03
-600E-06,-91.253E-03,+24.767E-03,-8.491E-03
-500E-06,-88.741E-03,+25.269E-03,-9.697E-03
-400E-06,-89.645E-03,+25.671E-03,-10.953E-03
-300E-06,-82.710E-03,+32.003E-03,-9.697E-03
-200E-06,-19.394E-03,+90.797E-03,+705E-06
-100E-06,+37.290E-03,+123.159E-03,+28.595E-03
-0.0E+00,-118.891E-03,-48.097E-03,+41.811E-03
+100E-06,+40.003E-03,+121.651E-03,+44.775E-03
+200E-06,+157.893E-03,+195.018E-03,+93.117E-03
+300E-06,+312.767E-03,+272.606E-03,+170.956E-03
+400E-06,+452.264E-03,+344.968E-03,+245.378E-03
+500E-06,+546.938E-03,+389.591E-03,+293.821E-03
+600E-06,+594.978E-03,+414.516E-03,+321.007E-03
+700E-06,+633.370E-03,+431.501E-03,+344.926E-03
+800E-06,+677.290E-03,+459.842E-03,+366.685E-03
+900E-06,+732.666E-03,+487.682E-03,+397.941E-03
+1.000E-03,+801.209E-03,+527.280E-03,+431.007E-03
+1.100E-03,+862.717E-03,+556.727E-03,+463.218E-03
+1.200E-03,+916.687E-03,+585.269E-03,+490.705E-03
+1.300E-03,+940.807E-03,+592.606E-03,+507.690E-03
+1.400E-03,+958.395E-03,+602.053E-03,+512.615E-03
+1.500E-03,+981.611E-03,+620.747E-03,+526.484E-03
+1.600E-03,+1.028144E+00,+643.360E-03,+549.600E-03
+1.700E-03,+1.094878E+00,+684.767E-03,+586.082E-03
+1.800E-03,+1.182516E+00,+725.068E-03,+630.956E-03
+1.900E-03,+1.254878E+00,+770.395E-03,+669.600E-03
+2.000E-03,+1.315280E+00,+795.119E-03,+703.117E-03
+2.100E-03,+1.352365E+00,+815.320E-03,+723.419E-03
+2.200E-03,+1.364727E+00,+823.762E-03,+733.368E-03
+2.300E-03,+1.375983E+00,+828.787E-03,+740.705E-03
+2.400E-03,+1.396586E+00,+834.214E-03,+749.298E-03
+2.500E-03,+1.416285E+00,+848.888E-03,+759.147E-03
+2.600E-03,+1.459099E+00,+870.697E-03,+778.243E-03
+2.700E-03,+1.503621E+00,+891.702E-03,+800.705E-03
+2.800E-03,+1.554677E+00,+915.621E-03,+826.484E-03
+2.900E-03,+1.595782E+00,+945.269E-03,+850.504E-03
+3.000E-03,+1.631360E+00,+962.958E-03,+871.459E-03
+3.100E-03,+1.652767E+00,+979.641E-03,+887.389E-03
+3.200E-03,+1.672264E+00,+987.079E-03,+893.419E-03
+3.300E-03,+1.682616E+00,+989.591E-03,+899.499E-03
+3.400E-03,+1.689048E+00,+990.998E-03,+906.283E-03
+3.500E-03,+1.693671E+00,+992.104E-03,+909.901E-03
+3.600E-03,+1.692063E+00,+991.501E-03,+911.157E-03
+3.700E-03,+1.687440E+00,+989.390E-03,+909.901E-03
+3.800E-03,+1.682616E+00,+982.254E-03,+909.901E-03
+3.900E-03,+1.673169E+00,+975.119E-03,+908.645E-03
+4.000E-03,+1.659501E+00,+961.450E-03,+907.389E-03
+4.100E-03,+1.646335E+00,+950.797E-03,+906.132E-03
+4.200E-03,+1.638496E+00,+935.420E-03,+905.780E-03
+4.300E-03,+1.614174E+00,+911.400E-03,+903.469E-03
+4.400E-03,+1.592465E+00,+886.978E-03,+902.363E-03
+4.500E-03,+1.562516E+00,+862.958E-03,+902.363E-03
+4.600E-03,+1.527943E+00,+825.571E-03,+901.107E-03
+4.700E-03,+1.483018E+00,+783.762E-03,+900.454E-03
+4.800E-03,+1.430757E+00,+727.682E-03,+898.193E-03
+4.900E-03,+1.366938E+00,+670.998E-03,+897.338E-03
+5.000E-03,+1.310757E+00,+610.194E-03,+898.595E-03
+5.100E-03,+1.235682E+00,+537.631E-03,+896.082E-03
+5.200E-03,+1.165631E+00,+459.239E-03,+894.826E-03
+5.300E-03,+1.086837E+00,+385.068E-03,+894.826E-03
+5.400E-03,+1.014576E+00,+310.797E-03,+894.373E-03
+5.500E-03,+946.435E-03,+244.365E-03,+893.569E-03
+5.600E-03,+875.078E-03,+179.541E-03,+893.569E-03
+5.700E-03,+795.581E-03,+99.742E-03,+892.313E-03
+5.800E-03,+705.832E-03,+12.807E-03,+892.313E-03
+5.900E-03,+633.169E-03,-59.856E-03,+892.313E-03
+6.000E-03,+607.742E-03,-74.228E-03,+892.313E-03
+6.100E-03,+596.586E-03,-75.736E-03,+892.313E-03
+6.200E-03,+586.737E-03,-75.736E-03,+891.057E-03
+6.300E-03,+569.752E-03,-75.736E-03,+891.057E-03
+6.400E-03,+557.591E-03,-75.736E-03,+891.057E-03
+6.500E-03,+535.883E-03,-78.248E-03,+891.057E-03
+6.600E-03,+496.486E-03,-80.761E-03,+891.057E-03
+6.700E-03,+439.300E-03,-83.273E-03,+889.801E-03
+6.800E-03,+376.486E-03,-83.273E-03,+889.801E-03
+6.900E-03,+313.671E-03,-83.273E-03,+888.544E-03
+7.000E-03,+261.008E-03,-83.273E-03,+889.801E-03
+7.100E-03,+218.194E-03,-80.761E-03,+888.544E-03
+7.200E-03,+182.817E-03,-80.761E-03,+888.544E-03
+7.300E-03,+153.370E-03,-83.273E-03,+887.690E-03
+7.400E-03,+116.486E-03,-81.163E-03,+888.544E-03
+7.500E-03,+77.089E-03,-80.761E-03,+887.288E-03
+7.600E-03,+38.496E-03,-83.273E-03,+888.343E-03
+7.700E-03,-97E-06,-80.761E-03,+887.288E-03
+7.800E-03,-28.640E-03,-79.555E-03,+886.032E-03
+7.900E-03,-52.861E-03,-78.248E-03,+885.579E-03
+8.000E-03,-72.158E-03,-75.736E-03,+884.775E-03
+8.100E-03,-83.916E-03,-75.836E-03,+884.775E-03
+8.200E-03,-110.148E-03,-80.459E-03,+883.670E-03
+8.300E-03,-145.525E-03,-81.464E-03,+883.167E-03
+8.400E-03,-196.278E-03,-80.761E-03,+884.775E-03
+8.500E-03,-234.469E-03,-80.761E-03,+882.263E-03
+8.600E-03,-271.454E-03,-80.158E-03,+881.007E-03
+8.700E-03,-292.660E-03,-78.248E-03,+880.906E-03
+8.800E-03,-311.957E-03,-75.937E-03,+879.750E-03
+8.900E-03,-324.318E-03,-73.223E-03,+880.705E-03
+9.000E-03,-331.454E-03,-74.731E-03,+878.494E-03
+9.100E-03,-345.826E-03,-75.736E-03,+879.198E-03
+9.200E-03,-364.017E-03,-75.736E-03,+878.846E-03
+9.300E-03,-383.615E-03,-78.248E-03,+878.494E-03
+9.400E-03,-410.047E-03,-80.761E-03,+878.494E-03
+9.500E-03,-449.042E-03,-81.263E-03,+877.238E-03
+9.600E-03,-490.550E-03,-80.761E-03,+876.434E-03
+9.700E-03,-532.057E-03,-83.273E-03,+877.841E-03
+9.800E-03,-566.932E-03,-80.761E-03,+877.238E-03
