x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-22.10000E-03,+13.04962E-03,+11.20943790E+00,-8.02450E-03,+16.08782990E+00
-22.07500E-03,+13.04962E-03,+11.06119669E+00,-8.02450E-03,+16.08079472E+00
-22.05000E-03,+12.54711E-03,+10.91446302E+00,-8.02450E-03,+16.05566910E+00
-22.02500E-03,+13.04962E-03,+10.83004091E+00,-8.04460E-03,+16.03104598E+00
-22.00000E-03,+13.04962E-03,+10.67124694E+00,-8.02450E-03,+16.00793040E+00
-21.97500E-03,+12.86872E-03,+10.54159869E+00,-8.02450E-03,+15.97225201E+00
-21.95000E-03,+13.04962E-03,+10.41546804E+00,-8.02450E-03,+15.93004095E+00
-21.92500E-03,+13.04962E-03,+10.25617155E+00,-8.02450E-03,+15.90491533E+00
-21.90000E-03,+13.04962E-03,+10.09486501E+00,-8.02450E-03,+15.87978970E+00
-21.87500E-03,+12.54711E-03,+9.97526700E+00,-8.02450E-03,+15.86722688E+00
-21.85000E-03,+13.04962E-03,+9.82853335E+00,-8.02450E-03,+15.85466407E+00
-21.82500E-03,+12.70791E-03,+9.66069414E+00,-8.02450E-03,+15.84210125E+00
-21.80000E-03,+13.04962E-03,+9.49687504E+00,-8.02450E-03,+15.81044295E+00
-21.77500E-03,+12.72802E-03,+9.36672428E+00,-8.02450E-03,+15.77928718E+00
-21.75000E-03,+13.04962E-03,+9.21396047E+00,-8.02450E-03,+15.75164898E+00
-21.72500E-03,+13.04962E-03,+9.04411122E+00,-8.02450E-03,+15.71647311E+00
-21.70000E-03,+13.04962E-03,+8.86169915E+00,-8.02450E-03,+15.69285501E+00
-21.67500E-03,+13.04962E-03,+8.73305592E+00,-8.02450E-03,+15.67878467E+00
-21.65000E-03,+13.04962E-03,+8.59737754E+00,-8.02450E-03,+15.67174948E+00
-21.62500E-03,+12.84862E-03,+8.43255343E+00,-8.02450E-03,+15.64863390E+00
-21.60000E-03,+12.92902E-03,+8.26069413E+00,-8.02450E-03,+15.62551832E+00
-21.57500E-03,+13.04962E-03,+8.13707600E+00,-7.56219E-03,+15.58983993E+00
-21.55000E-03,+13.04962E-03,+7.99335742E+00,-7.98430E-03,+15.55315653E+00
-21.52500E-03,+13.04962E-03,+7.83305593E+00,-8.02450E-03,+15.51546809E+00
-21.50000E-03,+13.04962E-03,+7.67878455E+00,-8.02450E-03,+15.49536756E+00
-21.47500E-03,+13.04962E-03,+7.54109609E+00,-8.02450E-03,+15.47777964E+00
-21.45000E-03,+13.04962E-03,+7.40541773E+00,-8.02450E-03,+15.47777964E+00
-21.42500E-03,+13.04962E-03,+7.25868406E+00,-8.02450E-03,+15.46370927E+00
-21.40000E-03,+13.04962E-03,+7.15014132E+00,-8.02450E-03,+15.44059369E+00
-21.37500E-03,+13.04962E-03,+7.02803079E+00,-8.02450E-03,+15.42752839E+00
-21.35000E-03,+13.04962E-03,+6.93607096E+00,-8.02450E-03,+15.38983994E+00
-21.32500E-03,+13.04962E-03,+6.84109613E+00,-8.02450E-03,+15.34612133E+00
-21.30000E-03,+13.04962E-03,+6.77627199E+00,-8.02450E-03,+15.31044293E+00
-21.27500E-03,+13.04962E-03,+6.66521668E+00,-8.52701E-03,+15.28933743E+00
-21.25000E-03,+13.04962E-03,+6.57074432E+00,-8.02450E-03,+15.27677462E+00
-21.22500E-03,+13.04962E-03,+6.44913630E+00,-8.02450E-03,+15.26421180E+00
-21.20000E-03,+13.04962E-03,+6.39034233E+00,-8.02450E-03,+15.25164899E+00
-21.17500E-03,+13.04962E-03,+6.24963878E+00,-8.02450E-03,+15.21396055E+00
-21.15000E-03,+13.04962E-03,+6.11295533E+00,-8.20540E-03,+15.18431228E+00
-21.12500E-03,+13.04962E-03,+5.96772917E+00,-8.02450E-03,+15.15114648E+00
-21.10000E-03,+13.04962E-03,+5.78983974E+00,-8.02450E-03,+15.12551830E+00
-21.07500E-03,+13.04962E-03,+5.60793022E+00,-8.02450E-03,+15.10089522E+00
-21.05000E-03,+13.04962E-03,+5.38230201E+00,-8.02450E-03,+15.07928715E+00
-21.02500E-03,+13.04962E-03,+5.16622161E+00,-8.02450E-03,+15.06873438E+00
-21.00000E-03,+13.04962E-03,+4.94511604E+00,-8.02450E-03,+15.06320678E+00
-20.97500E-03,+13.04962E-03,+4.70290494E+00,-8.02450E-03,+15.04762885E+00
-20.95000E-03,+13.04962E-03,+4.46873419E+00,-8.02450E-03,+15.02451327E+00
-20.92500E-03,+13.04962E-03,+4.25164872E+00,-8.02450E-03,+14.98782989E+00
-20.90000E-03,+13.17022E-03,+4.06069394E+00,-8.40641E-03,+14.95014145E+00
-20.87500E-03,+13.04962E-03,+3.87476425E+00,-8.32601E-03,+14.91747809E+00
-20.85000E-03,+13.04962E-03,+3.68581952E+00,-8.02450E-03,+14.89436251E+00
-20.82500E-03,+13.41143E-03,+3.53808086E+00,-8.02450E-03,+14.87476456E+00
-20.80000E-03,+13.49183E-03,+3.35968889E+00,-8.02450E-03,+14.86220175E+00
-20.77500E-03,+13.06972E-03,+3.19235233E+00,-8.02450E-03,+14.85014141E+00
-20.75000E-03,+13.04962E-03,+3.01044274E+00,-8.02450E-03,+14.83707612E+00
-20.72500E-03,+13.55214E-03,+2.85767887E+00,-8.20540E-03,+14.81195049E+00
-20.70000E-03,+13.04962E-03,+2.73355831E+00,-8.02450E-03,+14.78682486E+00
-20.67500E-03,+13.21043E-03,+2.55968891E+00,-8.02450E-03,+14.74913642E+00
-20.65000E-03,+13.04962E-03,+2.39586990E+00,-8.02450E-03,+14.72401079E+00
-20.62500E-03,+13.04962E-03,+2.22401060E+00,-8.02450E-03,+14.69888517E+00
-20.60000E-03,+13.04962E-03,+2.06873413E+00,-8.02450E-03,+14.68632235E+00
-20.57500E-03,+12.70791E-03,+1.96823170E+00,-8.02450E-03,+14.67375954E+00
-20.55000E-03,+13.04962E-03,+1.81546793E+00,-8.02450E-03,+14.65466401E+00
-20.52500E-03,+13.04962E-03,+1.69536733E+00,-8.02450E-03,+14.63154843E+00
-20.50000E-03,+13.45163E-03,+1.59335737E+00,-8.02450E-03,+14.59587004E+00
-20.47500E-03,+13.04962E-03,+1.46873416E+00,-8.02450E-03,+14.57275446E+00
-20.45000E-03,+13.55214E-03,+1.37275431E+00,-8.02450E-03,+14.53707607E+00
-20.42500E-03,+13.41143E-03,+1.25114626E+00,-8.02450E-03,+14.51044295E+00
-20.40000E-03,+13.55214E-03,+1.16722666E+00,-8.02450E-03,+14.49788014E+00
-20.37500E-03,+13.55214E-03,+1.05315625E+00,-8.02450E-03,+14.47275451E+00
-20.35000E-03,+13.55214E-03,+974.26183E-03,-8.02450E-03,+14.47275451E+00
-20.32500E-03,+13.55214E-03,+840.09098E-03,-8.02450E-03,+14.46019170E+00
-20.30000E-03,+13.55214E-03,+767.72922E-03,-7.98430E-03,+14.44863385E+00
