x-axis,F1
second,Volt
-22.10000E-03,+762.08496E-03
-22.07500E-03,+752.95410E-03
-22.05000E-03,+740.99121E-03
-22.02500E-03,+738.94042E-03
-22.00000E-03,+746.21583E-03
-21.97500E-03,+714.47753E-03
-21.95000E-03,+757.20215E-03
-21.92500E-03,+717.89550E-03
-21.90000E-03,+767.45607E-03
-21.87500E-03,+701.29395E-03
-21.85000E-03,+773.80372E-03
-21.82500E-03,+725.70801E-03
-21.80000E-03,+775.75684E-03
-21.77500E-03,+734.93654E-03
-21.75000E-03,+770.87400E-03
-21.72500E-03,+776.24513E-03
-21.70000E-03,+714.96581E-03
-21.67500E-03,+775.75684E-03
-21.65000E-03,+752.27054E-03
-21.62500E-03,+733.03221E-03
-21.60000E-03,+769.89743E-03
-21.57500E-03,+727.75882E-03
-21.55000E-03,+705.29778E-03
-21.52500E-03,+772.82717E-03
-21.50000E-03,+715.94242E-03
-21.47500E-03,+682.49510E-03
-21.45000E-03,+772.33885E-03
-21.42500E-03,+705.68854E-03
-21.40000E-03,+714.47750E-03
-21.37500E-03,+751.34277E-03
-21.35000E-03,+683.47170E-03
-21.32500E-03,+701.68447E-03
-21.30000E-03,+713.01277E-03
-21.27500E-03,+651.24512E-03
-21.25000E-03,+751.34275E-03
-21.22500E-03,+665.40525E-03
-21.20000E-03,+729.61423E-03
-21.17500E-03,+663.94049E-03
-21.15000E-03,+746.50876E-03
-21.12500E-03,+663.45215E-03
-21.10000E-03,+737.91504E-03
-21.07500E-03,+652.70993E-03
-21.05000E-03,+734.49710E-03
-21.02500E-03,+656.61618E-03
-21.00000E-03,+728.14935E-03
-20.97500E-03,+672.53429E-03
-20.95000E-03,+624.63375E-03
-20.92500E-03,+626.58688E-03
-20.90000E-03,+347.53344E-03
-20.87500E-03,+187.37793E-03
-20.85000E-03,+37.23145E-03
-20.82500E-03,-20.38570E-03
-20.80000E-03,-161.74316E-03
-20.77500E-03,-210.76669E-03
-20.75000E-03,-339.72185E-03
-20.72500E-03,-369.75102E-03
-20.70000E-03,-436.49911E-03
-20.67500E-03,-520.38570E-03
-20.65000E-03,-578.44247E-03
-20.62500E-03,-712.28036E-03
-20.60000E-03,-712.28027E-03
-20.57500E-03,-800.17090E-03
-20.55000E-03,-936.88965E-03
-20.52500E-03,-950.51284E-03
-20.50000E-03,-1.01745615E+00
-20.47500E-03,-1.12438960E+00
-20.45000E-03,-1.10813004E+00
-20.42500E-03,-1.20056152E+00
-20.40000E-03,-1.30842301E+00
-20.37500E-03,-1.27990728E+00
-20.35000E-03,-1.39753412E+00
-20.32500E-03,-1.41491710E+00
-20.30000E-03,-1.46398920E+00
-20.27500E-03,-1.46008306E+00
-20.25000E-03,-1.58264166E+00
-20.22500E-03,-1.61853033E+00
-20.20000E-03,-1.65100098E+00
-20.17500E-03,-1.67849133E+00
-20.15000E-03,-1.78674328E+00
-20.12500E-03,-1.78527838E+00
-20.10000E-03,-1.83337408E+00
-20.07500E-03,-1.83786634E+00
-20.05000E-03,-1.93776875E+00
-20.02500E-03,-1.95939928E+00
-20.00000E-03,-1.92565912E+00
-19.97500E-03,-1.90124512E+00
-19.95000E-03,-1.90515130E+00
-19.92500E-03,-1.90124512E+00
-19.90000E-03,-1.84636223E+00
-19.87500E-03,-1.79846184E+00
-19.85000E-03,-1.77551270E+00
-19.82500E-03,-1.77697747E+00
-19.80000E-03,-1.76330566E+00
-19.77500E-03,-1.72399888E+00
-19.75000E-03,-1.67541504E+00
-19.72500E-03,-1.65393074E+00
-19.70000E-03,-1.78879402E+00
-19.67500E-03,-1.89616737E+00
-19.65000E-03,-2.02917503E+00
-19.62500E-03,-2.17102058E+00
-19.60000E-03,-2.28820801E+00
-19.57500E-03,-2.39890160E+00
-19.55000E-03,-2.53225129E+00
-19.52500E-03,-2.65046411E+00
-19.50000E-03,-2.79943856E+00
-19.47500E-03,-2.92941936E+00
-19.45000E-03,-2.99484888E+00
-19.42500E-03,-3.08898926E+00
-19.40000E-03,-3.20642106E+00
-19.37500E-03,-3.26477093E+00
-19.35000E-03,-3.41296395E+00
-19.32500E-03,-3.51511256E+00
-19.30000E-03,-3.59646005E+00
-19.27500E-03,-3.71618678E+00
-19.25000E-03,-3.77014177E+00
-19.22500E-03,-3.89030771E+00
-19.20000E-03,-3.90158701E+00
-19.17500E-03,-4.01711453E+00
-19.15000E-03,-4.08674344E+00
-19.12500E-03,-4.20837411E+00
-19.10000E-03,-4.28996619E+00
-19.07500E-03,-4.40466318E+00
-19.05000E-03,-4.53640174E+00
-19.02500E-03,-4.61315927E+00
-19.00000E-03,-4.74060059E+00
-18.97500E-03,-4.85051308E+00
-18.95000E-03,-4.91818887E+00
-18.92500E-03,-5.05578623E+00
-18.90000E-03,-5.17634326E+00
-18.87500E-03,-5.28112833E+00
-18.85000E-03,-5.43249531E+00
-18.82500E-03,-5.60373556E+00
-18.80000E-03,-5.76672393E+00
-18.77500E-03,-5.93757365E+00
-18.75000E-03,-6.07971243E+00
-18.72500E-03,-6.22380403E+00
-18.70000E-03,-6.39743674E+00
-18.67500E-03,-6.57434092E+00
-18.65000E-03,-6.73474131E+00
-18.62500E-03,-6.88806185E+00
-18.60000E-03,-7.03264203E+00
-18.57500E-03,-7.17331597E+00
-18.55000E-03,-7.30471235E+00
-18.52500E-03,-7.47126509E+00
-18.50000E-03,-7.63415561E+00
-18.47500E-03,-7.79973167E+00
-18.45000E-03,-7.97238804E+00
-18.42500E-03,-8.11452693E+00
-18.40000E-03,-8.24836460E+00
-18.37500E-03,-8.40222180E+00
-18.35000E-03,-8.57385288E+00
-18.32500E-03,-8.67185105E+00
-18.30000E-03,-8.79763208E+00
-18.27500E-03,-8.95661657E+00
-18.25000E-03,-9.08239805E+00
-18.22500E-03,-9.17395043E+00
-18.20000E-03,-9.34509277E+00
