Distance_(pixels),Gray_Value
0,105.0000
1,19.5652
2,19.8406
3,20.2609
4,19.6884
5,19.6957
6,20.1667
7,19.6014
8,19.8188
9,20.0870
10,20.3406
11,20.6522
12,19.6812
13,19.8913
14,20.1232
15,20.1377
16,20.3551
17,20.4493
18,20.5362
19,20.2609
20,19.9638
21,20.2609
22,20.4203
23,20.1087
24,20.1449
25,21.2391
26,20.7174
27,20.6667
28,20.7681
29,21.1522
30,20.6884
31,21.1304
32,20.6884
33,20.8913
34,21.0217
35,21.1304
36,21.1304
37,21.4058
38,20.6232
39,20.4783
40,20.8261
41,20.8116
42,20.9348
43,20.6594
44,21.1159
45,21.2609
46,21.3116
47,20.7101
48,21.4348
49,20.1812
50,20.9420
51,20.4203
52,20.6812
53,20.4130
54,20.5217
55,20.2246
56,20.1957
57,20.8768
58,20.1087
59,20.3913
60,19.8116
61,19.8188
62,19.6957
63,20.2681
64,20.6957
65,20.2899
66,20.3188
67,19.9058
68,19.6667
69,20.3768
70,20.4493
71,20.1522
72,20.1232
73,20.4058
74,21.7464
75,21.0072
76,21.0072
77,20.8478
78,21.6159
79,21.2246
80,21.7609
81,21.6159
82,22.1957
83,21.9493
84,21.9710
85,22.5435
86,22.2029
87,22.8986
88,23.3551
89,23.0362
90,22.4058
91,23.3043
92,23.1304
93,23.0797
94,23.8478
95,23.0072
96,23.5217
97,22.7246
98,23.4058
99,23.1449
100,23.3841
101,22.5072
102,22.3913
103,22.4710
104,22.6087
105,22.4855
106,22.6739
107,21.3623
108,21.6957
109,21.9275
110,21.7319
111,21.0507
112,21.5217
113,20.9928
114,21.4203
115,21.0000
116,21.2391
117,20.5507
118,20.4783
119,20.6957
120,21.1159
121,20.7826
122,20.3406
123,20.1594
124,20.8696
125,20.3406
126,20.5145
127,20.3333
128,20.8913
129,20.7754
130,20.7899
131,20.7754
132,21.2681
133,21.0435
134,21.3188
135,22.0870
136,22.6667
137,22.7101
138,22.4058
139,22.8406
140,23.1739
141,23.1667
142,23.4420
143,23.8913
144,24.0580
145,23.5652
146,24.3551
147,23.9348
148,24.2029
149,24.6159
150,25.0145
151,24.2536
152,24.8478
153,24.5507
154,24.1739
155,24.6522
156,24.8551
157,24.6594
158,24.7101
159,24.1304
160,23.8406
161,23.4420
162,24.1449
163,23.3551
164,23.2826
165,22.8913
166,22.8551
167,22.7101
168,22.0942
169,22.1159
170,21.8986
171,21.6232
172,21.5435
173,21.3478
174,21.3478
175,21.5217
176,21.1449
177,20.7319
178,21.0507
179,20.7681
180,20.7899
181,20.7899
182,20.6957
183,20.9203
184,20.5652
185,20.3623
186,20.6449
187,20.3406
188,20.6087
189,21.5725
190,21.9855
191,21.9058
192,21.6739
193,21.6594
194,22.2754
195,22.6594
196,22.3696
197,22.4130
198,22.8188
199,23.0580
200,23.3696
201,22.5000
202,23.3623
203,23.8116
204,23.7971
205,24.1087
206,24.4855
207,23.8551
208,23.9855
209,24.2391
210,24.5145
211,24.2899
212,23.7319
213,23.8043
214,24.4058
215,23.8623
216,24.1014
217,23.2101
218,24.0507
219,23.0797
220,23.4420
221,23.3116
222,23.1739
223,23.1594
224,22.7681
225,22.8188
226,22.1014
227,22.5072
228,22.1014
229,21.3261
230,21.3406
231,21.2681
232,21.4928
233,21.1884
234,21.2174
235,20.3551
236,21.1232
237,20.6014
238,20.7609
239,20.8841
240,20.4855
241,20.1812
242,20.3768
243,20.9565
244,20.8406
245,21.3116
246,20.6377
247,20.7754
248,21.1087
249,20.7899
250,21.5652
251,20.6014
252,20.9348
253,21.7319
254,21.0942
255,22.1957
256,22.0580
257,21.5797
258,21.6812
259,22.0290
260,22.1522
261,21.8188
262,22.3333
263,22.1304
264,21.4203
265,22.0580
266,21.6884
267,21.8116
268,22.0145
269,22.3768
270,22.1594
271,21.6812
272,22.0507
273,22.1812
274,21.9928
275,22.8841
276,22.5652
277,21.2029
278,22.0580
279,22.3623
280,21.5362
281,20.8043
282,21.4783
283,21.4348
284,21.7826
285,21.4783
286,20.6957
287,20.6957
288,20.7536
289,20.7536
290,20.4638
291,20.3261
292,20.7899
293,21.0942
294,20.5362
295,20.5290
296,21.0217
297,20.8043
298,20.2319
299,20.7319
300,21.2246
301,21.0942
302,21.1159
303,20.7536
304,20.3478
305,21.1594
306,20.4348
307,20.4420
308,20.8551
309,20.6667
310,19.9783
311,20.5797
312,20.5217
313,20.6159
314,20.7391
315,20.9783
316,20.5435
317,21.3768
318,20.9638
319,21.2319
320,20.6957
321,20.7536
322,20.9710
323,21.2609
324,20.9493
325,21.3406
326,21.8406
327,21.3116
328,21.3623
329,20.4783
330,20.9420
331,21.7246
332,21.6304
333,21.4275
334,20.9058
335,20.9783
336,21.5870
337,20.9058
338,21.0725
339,21.3261
340,21.2246
341,20.8116
342,20.6812
343,21.1739
344,21.3913
345,21.2319
346,21.4710
347,20.7101
348,20.9420
349,21.1594
350,20.9420
351,20.9783
352,21.0000
353,20.5435
354,20.0870
355,20.3116
356,20.7029
357,20.1812
358,20.5507
359,20.5145
360,20.4348
361,20.9710
362,20.0000
363,20.4710
364,20.4783
365,21.5435
366,20.9203
367,20.9710
368,20.9710
369,21.1884
370,21.1667
371,21.2174
372,21.7899
373,21.6377
374,21.8406
375,22.6232
376,22.2754
377,23.3261
378,22.5507
379,23.4855
380,22.8623
381,23.4130
382,23.6014
383,24.0145
384,24.8261
385,24.2246
386,24.8986
387,25.5507
388,25.1087
389,24.8841
390,25.2464
391,25.5435
392,25.2971
393,26.1449
394,24.9855
395,25.6957
396,25.7319
397,26.1304
398,25.2246
399,24.9855
400,24.8333
401,24.9275
402,25.3406
403,24.1884
404,24.2029
405,24.8623
406,24.1304
407,23.7826
408,23.8261
409,23.5145
410,22.7681
411,22.0942
412,21.7101
413,22.0870
414,21.8841
415,21.5000
416,21.0435
417,20.8261
418,20.9493
419,20.5797
420,21.4493
421,21.2609
422,21.2391
423,21.1159
424,21.5290
425,22.4855
426,21.7754
427,22.1014
428,23.4058
429,23.8043
430,24.0290
431,25.1667
432,25.5145
433,25.9710
434,27.3261
435,28.4565
436,29.4420
437,31.0435
438,31.4493
439,31.7319
440,32.6594
441,33.8406
442,34.8188
443,35.3406
444,35.7971
445,35.9058
446,36.4638
447,37.8478
448,38.2029
449,38.1522
450,39.0145
451,38.7246
452,38.6812
453,38.3116
454,38.3406
455,38.8986
456,38.2464
457,37.8986
458,36.9855
459,36.4710
460,36.0217
461,35.1594
462,34.3333
463,33.0072
464,32.2246
465,30.9130
466,30.8986
467,29.4058
468,28.0797
469,27.1159
470,26.0870
471,24.9855
472,24.2681
473,23.6812
474,22.6304
475,22.0507
476,21.8261
477,21.7319
478,21.6232
479,21.5942
480,22.3043
481,22.4420
482,22.2101
483,22.8841
484,23.8478
485,24.5362
486,25.5290
487,26.6014
488,28.3551
489,29.7536
490,31.1014
491,32.8478
492,34.8188
493,35.9783
494,38.0942
495,40.2826
496,42.5072
497,44.5290
498,46.8188
499,47.5145
500,50.2609
501,51.4058
502,53.7319
503,54.5652
504,56.3116
505,56.5290
506,58.0580
507,59.8406
508,59.2609
509,60.5580
510,60.7101
511,61.1304
512,60.6014
513,59.4348
514,59.2971
515,56.8913
516,56.1449
517,55.2029
518,54.7754
519,52.9058
520,52.0362
521,48.5580
522,47.1304
523,45.0797
524,42.9638
525,41.3478
526,38.9493
527,36.7826
528,33.8623
529,32.9420
530,31.3188
531,28.9493
532,27.9565
533,26.2536
534,24.7681
535,24.8406
536,23.6594
537,22.9275
538,22.5435
539,22.8261
540,23.5435
541,23.8116
542,25.0072
543,25.8913
544,27.5725
545,29.4783
546,30.6884
547,33.3333
548,35.8768
549,38.0725
550,41.0145
551,45.2536
552,47.6594
553,50.3913
554,53.2899
555,56.8261
556,58.9348
557,62.8261
558,65.8551
559,69.3696
560,71.5797
561,73.7246
562,75.9493
563,78.5870
564,79.7319
565,82.0145
566,83.1884
567,84.2826
568,84.8841
569,84.6377
570,84.1594
571,84.7536
572,84.5362
573,83.3043
574,81.9203
575,79.7391
576,77.7464
577,74.2174
578,72.2536
579,69.1014
580,65.9928
581,63.9130
582,60.4565
583,56.5797
584,53.2101
585,48.6522
586,46.2681
587,43.8768
588,40.3841
589,36.7391
590,34.2391
591,31.4710
592,29.8913
593,27.6522
594,26.5725
595,25.2899
596,25.0000
597,24.0652
598,23.7101
599,24.2971
600,25.1014
601,26.4348
602,27.3188
603,29.4783
604,32.3913
605,34.4058
606,37.5870
607,40.8188
608,44.4348
609,48.6087
610,52.0942
611,55.7029
612,59.6377
613,63.8841
614,68.3406
615,72.3841
616,77.2029
617,81.6014
618,84.4855
619,88.9130
620,92.7391
621,95.1232
622,97.8333
623,99.7826
624,102.2609
625,103.1232
626,104.1522
627,105.1377
628,104.7826
629,105.2319
630,103.8768
631,101.7246
632,100.5942
633,98.5652
634,96.0725
635,93.6667
636,90.5797
637,87.1449
638,84.0870
639,79.6449
640,75.0580
641,70.3623
642,65.8913
643,62.2464
644,57.6739
645,53.6812
646,49.7899
647,45.4565
648,41.7319
649,38.0580
650,35.0145
651,32.4130
652,29.9420
653,27.4058
654,25.7464
655,24.6957
656,24.3116
657,24.1014
658,25.1594
659,24.9058
660,25.5580
661,27.5145
662,30.0435
663,32.3913
664,35.3043
665,38.0362
666,41.6667
667,45.4565
668,48.9420
669,53.6449
670,58.6957
671,62.0652
672,66.6594
673,71.8913
674,75.6232
675,79.9275
676,83.4638
677,87.2391
678,91.0362
679,94.8913
680,98.2391
681,101.0145
682,102.9565
683,103.5580
684,106.9638
685,107.1522
686,108.7029
687,107.8478
688,108.0000
689,107.1667
690,104.8551
691,102.4493
692,100.5870
693,98.2174
694,95.0725
695,91.5145
696,88.5000
697,85.6159
698,80.8551
699,76.7899
700,72.2391
701,68.1884
702,63.4130
703,59.8696
704,55.1449
705,51.2681
706,46.8913
707,43.0507
708,39.4565
709,37.1884
710,34.2609
711,30.6159
712,28.6884
713,26.5362
714,25.7681
715,25.6667
716,24.1884
717,24.2174
718,24.6594
719,25.7391
720,26.7971
721,28.1957
722,30.2464
723,33.4855
724,36.3768
725,39.1449
726,42.5072
727,47.2609
728,51.3551
729,54.9420
730,58.7609
731,62.8696
732,67.9058
733,72.5145
734,76.3478
735,81.4783
736,84.8261
737,87.2681
738,91.3043
739,95.8116
740,97.2029
741,100.0000
742,101.7391
743,102.7029
744,104.7681
745,105.6159
746,105.8913
747,105.1087
748,104.3696
749,103.0507
750,101.8623
751,100.6667
752,97.1522
753,95.0942
754,92.0145
755,87.5797
756,83.9420
757,79.6957
758,76.5290
759,72.4058
760,67.8188
761,64.7609
762,59.7391
763,54.7609
764,51.6304
765,47.5217
766,43.1812
767,39.5652
768,36.3551
769,33.0145
770,30.6304
771,28.9130
772,27.1957
773,25.5145
774,25.3333
775,24.1594
776,23.8623
777,24.1014
778,25.0072
779,25.4275
780,27.2174
781,29.0000
782,30.7609
783,33.2391
784,35.7464
785,38.7391
786,42.0217
787,44.7391
788,47.5725
789,50.8986
790,54.6884
791,57.8261
792,61.2101
793,64.8406
794,68.5362
795,71.2826
796,74.0942
797,76.3261
798,78.5797
799,80.9855
800,82.8333
801,84.4348
802,85.5362
803,85.8986
804,86.9058
805,87.0072
806,86.2826
807,85.9493
808,84.4638
809,82.2826
810,80.8841
811,79.8043
812,78.0652
813,75.1087
814,72.8116
815,71.1522
816,66.7391
817,63.5797
818,59.8841
819,57.0797
820,54.0870
821,50.3043
822,46.9638
823,44.8478
824,42.0652
825,38.2246
826,36.4203
827,33.3623
828,31.0652
829,29.2319
830,28.3623
831,26.0072
832,25.0290
833,24.0580
834,23.1667
835,23.0580
836,22.9130
837,23.7536
838,24.1594
839,25.0290
840,26.4928
841,26.4058
842,29.2536
843,29.6812
844,31.6884
845,33.3043
846,35.4928
847,37.6957
848,39.3623
849,41.9493
850,44.0217
851,46.2536
852,48.0725
853,49.1884
854,50.9130
855,52.5652
856,55.0362
857,55.7899
858,57.1087
859,59.4275
860,59.6159
861,59.8696
862,60.2464
863,60.1377
864,60.2899
865,59.8333
866,59.3043
867,60.0290
868,59.0580
869,58.0145
870,56.7826
871,54.2174
872,52.7754
873,51.5725
874,50.1884
875,47.8116
876,45.7681
877,44.2826
878,42.3768
879,40.7826
880,39.1884
881,36.6449
882,34.5942
883,33.3188
884,31.5072
885,29.8406
886,28.5072
887,27.1522
888,26.6377
889,25.3043
890,24.5000
891,22.9855
892,23.1159
893,22.4855
894,21.9058
895,22.1594
896,22.5580
897,22.4203
898,23.3333
899,22.3551
900,23.6522
901,24.0217
902,25.2899
903,25.8333
904,27.0290
905,27.3768
906,28.2536
907,30.1304
908,31.0000
909,31.7971
910,33.2391
911,34.4565
912,34.3116
913,35.5652
914,36.1884
915,37.3261
916,37.7826
917,38.8623
918,39.2826
919,38.1232
920,39.5870
921,39.3551
922,38.9493
923,39.4493
924,38.2029
925,39.0507
926,38.6449
927,37.4058
928,37.5217
929,37.3406
930,36.2609
931,35.0507
932,33.9493
933,33.7609
934,32.5290
935,32.6884
936,31.7536
937,30.3116
938,29.4275
939,28.8188
940,27.1957
941,27.2029
942,26.0580
943,25.5290
944,23.9130
945,23.9638
946,24.6739
947,23.1304
948,22.8478
949,22.0942
950,22.1014
951,21.5507
952,21.7681
953,20.9420
954,21.4058
955,20.9130
956,21.3841
957,21.5145
958,21.6522
959,22.1667
960,21.5145
961,21.9058
962,22.0870
963,22.7681
964,23.0217
965,23.4420
966,23.4638
967,23.6522
968,23.9783
969,24.0870
970,24.8333
971,25.0652
972,25.2101
973,25.8333
974,25.5072
975,25.3623
976,25.4638
977,25.6377
978,26.3116
979,25.6449
980,25.5797
981,25.4710
982,25.7536
983,25.1159
984,25.6377
985,24.8551
986,25.2029
987,24.9783
988,25.0725
989,24.1739
990,23.7899
991,24.8551
992,23.4928
993,22.9493
994,23.7246
995,23.6449
996,22.8188
997,22.6594
998,22.1884
999,22.1159
1000,21.7101
1001,22.6014
1002,22.8478
1003,21.7971
1004,21.3913
1005,20.6594
1006,21.2681
1007,21.0580
1008,20.8188
1009,21.1594
1010,21.0290
1011,20.7754
1012,20.8043
1013,20.5942
1014,21.1377
1015,20.2681
1016,20.2899
1017,21.0435
1018,20.6957
1019,20.6812
1020,20.8406
1021,19.9710
1022,20.6449
1023,20.4130
1024,20.4348
1025,21.1232
1026,21.0942
1027,20.7681
1028,20.6449
1029,20.9855
1030,20.9058
1031,21.3406
1032,20.9275
1033,21.2826
1034,21.4638
1035,20.5942
1036,20.6087
1037,21.5000
1038,21.0435
1039,20.8188
1040,20.8551
1041,20.8623
1042,20.5797
1043,21.1594
1044,21.1667
1045,20.8188
1046,21.0725
1047,20.4855
1048,20.9130
1049,20.5870
1050,21.0362
1051,20.7609
1052,20.2174
1053,20.9420
1054,21.1594
1055,21.6377
1056,20.6087
1057,20.9203
1058,21.2464
1059,20.3696
1060,21.1377
1061,20.6522
1062,20.7246
1063,20.8116
1064,20.9493
1065,20.7101
1066,19.9420
1067,20.2101
1068,21.1159
1069,21.2609
1070,21.3841
1071,20.6449
1072,20.6594
1073,20.6957
1074,20.7391
1075,20.4928
1076,20.6884
1077,20.7464
1078,20.4710
1079,20.1667
1080,20.4348
1081,19.8986
1082,21.2319
1083,21.0435
1084,21.3478
1085,20.7174
1086,19.9855
1087,20.8696
1088,20.7246
1089,21.1522
1090,21.0652
1091,21.0580
1092,20.7754
1093,20.7826
1094,20.7826
1095,21.5362
1096,21.6232
1097,22.0652
1098,21.6014
1099,21.5217
1100,21.5797
1101,22.2536
1102,22.9348
1103,22.6014
1104,22.2754
1105,21.6377
1106,22.7536
1107,22.3986
1108,22.8188
1109,21.9710
1110,21.8841
1111,21.8986
1112,22.1159
1113,22.2101
1114,21.7826
1115,21.6449
1116,21.7899
1117,21.5870
1118,21.2464
1119,20.8768
1120,21.1957
1121,21.5145
1122,21.3333
1123,21.2174
1124,21.0217
1125,20.9203
1126,20.9420
1127,20.6159
1128,20.1304
1129,20.9565
1130,20.4275
1131,20.2971
1132,20.7971
1133,20.9420
1134,20.9855
1135,20.3116
1136,20.6739
1137,20.8406
1138,21.4638
1139,20.6739
1140,20.5580
1141,21.9493
1142,21.0072
1143,21.5435
1144,21.2391
1145,21.8043
1146,21.7101
1147,22.0725
1148,22.2536
1149,22.0362
1150,22.7681
1151,23.3043
1152,23.0435
1153,23.9710
1154,23.4638
1155,23.6739
1156,23.4348
1157,23.7609
1158,23.9203
1159,23.3333
1160,23.7681
1161,24.4275
1162,24.1667
1163,23.7391
1164,23.7609
1165,23.6522
1166,23.3478
1167,23.8261
1168,23.6159
1169,23.2464
1170,23.9058
1171,23.8623
1172,23.4420
1173,23.7029
1174,23.2826
1175,23.0000
1176,22.2899
1177,22.5870
1178,22.2536
1179,22.2174
1180,21.8478
1181,21.2464
1182,21.7681
1183,21.6014
1184,21.0507
1185,20.8478
1186,21.2391
1187,20.7609
1188,20.7536
1189,20.3116
1190,20.7899
1191,21.1232
1192,20.6957
1193,20.1449
1194,20.6232
1195,21.1087
1196,21.4638
1197,21.1884
1198,20.7826
1199,20.6667
1200,20.8406
1201,21.8116
1202,21.9638
1203,21.3986
1204,21.8768
1205,22.3841
1206,22.9710
1207,22.7609
1208,22.8478
1209,23.2174
1210,23.4855
1211,23.5942
1212,22.9275
1213,23.5725
1214,24.1159
1215,23.8551
1216,24.1522
1217,24.3986
1218,24.8696
1219,24.9058
1220,24.6957
1221,24.9638
1222,24.6812
1223,23.9203
1224,23.8406
1225,24.7536
1226,24.2029
1227,24.4203
1228,23.8043
1229,24.3551
1230,23.7536
1231,24.0942
1232,24.0652
1233,23.5870
1234,23.5290
1235,22.7246
1236,22.6957
1237,22.5072
1238,21.8043
1239,21.3841
1240,21.5145
1241,21.1377
1242,21.0797
1243,21.4855
1244,21.0290
1245,20.7754
1246,20.9783
1247,20.6232
1248,20.1594
1249,20.3116
1250,20.0290
1251,20.3986
1252,20.4783
1253,20.6377
1254,20.5217
1255,20.7971
1256,20.4565
1257,21.4203
1258,20.4420
1259,20.7029
1260,21.3116
1261,21.1884
1262,21.0435
