Distance_(pixels),Gray_Value
0,2.581
1,3.287
2,3.250
3,3.110
4,3.022
5,3.176
6,3.125
7,3.007
8,3.066
9,3.176
10,3.875
11,3.507
12,3.581
13,3.257
14,3.397
15,3.588
16,3.250
17,3.184
18,3.184
19,3.478
20,3.441
21,3.610
22,3.074
23,3.243
24,3.441
25,3.507
26,3.471
27,3.176
28,3.765
29,3.456
30,3.257
31,3.404
32,3.529
33,3.588
34,3.507
35,3.603
36,3.765
37,3.301
38,3.331
39,3.346
40,3.846
41,3.515
42,3.706
43,3.926
44,4.015
45,4.088
46,3.971
47,4.596
48,3.824
49,4.096
50,3.713
51,4.081
52,3.596
53,4.537
54,4.162
55,3.956
56,4.882
57,4.235
58,4.221
59,4.316
60,4.669
61,4.206
62,4.684
63,4.699
64,4.721
65,4.831
66,4.382
67,4.147
68,4.588
69,4.912
70,4.382
71,4.588
72,4.904
73,5.015
74,4.691
75,4.647
76,4.618
77,4.956
78,4.831
79,4.794
80,4.956
81,5.419
82,4.978
83,4.662
84,5.132
85,4.691
86,5.154
87,5.404
88,5.118
89,4.853
90,5.441
91,5.426
92,4.978
93,5.463
94,5.125
95,4.985
96,4.801
97,5.338
98,5.044
99,5.706
100,5.279
101,5.272
102,5.250
103,5.324
104,5.346
105,5.838
106,5.441
107,5.412
108,5.713
109,5.610
110,5.493
111,5.625
112,6.118
113,5.824
114,6.066
115,6.154
116,5.669
117,5.713
118,6.081
119,6.088
120,6.059
121,5.559
122,5.904
123,6.191
124,5.706
125,5.735
126,5.743
127,6.412
128,6.375
129,6.000
130,6.294
131,6.074
132,5.632
133,5.794
134,6.316
135,6.110
136,6.044
137,6.463
138,6.353
139,6.206
140,5.897
141,6.007
142,6.044
143,6.279
144,6.140
145,6.485
146,5.934
147,6.346
148,6.206
149,6.338
150,6.382
151,6.346
152,6.471
153,6.154
154,6.243
155,6.390
156,6.669
157,6.529
158,6.493
159,6.397
160,6.360
161,6.162
162,6.757
163,6.279
164,6.301
165,6.037
166,6.544
167,6.250
168,6.272
169,6.559
170,6.544
171,6.522
172,6.176
173,6.463
174,6.206
175,6.493
176,6.544
177,6.360
178,6.118
179,6.404
180,6.272
181,6.162
182,6.559
183,6.294
184,6.029
185,6.015
186,6.022
187,5.743
188,6.059
189,6.404
190,6.162
191,5.971
192,6.125
193,6.007
194,6.676
195,6.110
196,5.765
197,6.154
198,6.074
199,5.897
200,5.706
201,6.176
202,6.279
203,5.963
204,5.691
205,6.316
206,5.985
207,5.949
208,6.382
209,6.007
210,6.228
211,5.787
212,6.235
213,6.500
214,5.743
215,6.228
216,6.081
217,6.088
218,5.912
219,5.971
220,5.868
221,5.963
222,5.993
223,5.699
224,5.794
225,5.412
226,5.875
227,5.904
228,5.162
229,5.875
230,6.029
231,6.044
232,5.243
233,5.713
234,5.287
235,5.735
236,5.390
237,5.478
238,5.684
239,5.074
240,5.199
241,5.235
242,5.426
243,5.390
244,5.022
245,5.301
246,4.728
247,4.824
248,5.051
249,5.118
250,4.809
251,4.978
252,4.632
253,4.493
254,4.890
255,4.338
256,4.743
257,4.404
258,4.941
259,5.022
260,4.566
261,4.404
262,4.868
263,4.316
264,4.699
265,4.456
266,4.507
267,4.632
268,4.434
269,4.706
270,4.309
271,4.324
272,4.772
273,5.044
274,5.331
275,4.779
276,4.787
277,4.743
278,4.941
279,4.353
280,4.206
281,4.544
282,4.662
283,4.926
284,5.140
285,4.485
286,4.375
287,4.713
288,4.949
289,4.838
290,4.294
291,4.824
292,5.132
293,4.993
294,4.559
295,5.206
296,4.610
297,4.493
298,4.699
299,5.140
300,4.956
301,4.904
302,4.868
303,4.904
304,5.206
305,4.485
306,4.735
307,4.434
308,4.772
309,4.463
310,4.794
311,4.529
312,4.522
313,4.640
314,4.853
315,4.375
316,5.022
317,4.743
318,5.206
319,4.441
320,4.515
321,4.713
322,4.559
323,4.360
324,5.051
325,5.051
326,4.654
327,4.632
328,4.559
329,4.772
330,4.985
331,5.456
332,5.007
333,4.647
334,4.897
335,5.368
336,5.191
337,4.978
338,5.625
339,5.463
340,5.250
341,5.574
342,5.846
343,6.449
344,6.118
345,6.816
346,6.493
347,6.551
348,6.831
349,6.801
350,6.941
351,7.493
352,7.213
353,7.265
354,7.757
355,8.059
356,8.022
357,8.272
358,8.199
359,8.176
360,8.824
361,8.699
362,8.603
363,9.140
364,9.713
365,9.809
366,9.515
367,9.544
368,9.706
369,9.787
370,9.860
371,9.912
372,10.279
373,10.228
374,10.235
375,10.404
376,10.434
377,10.000
378,10.316
379,10.301
380,10.265
381,10.015
382,10.088
383,10.824
384,10.588
385,10.603
386,11.154
387,10.757
388,10.515
389,11.074
390,11.441
391,11.515
392,11.382
393,11.544
394,12.096
395,11.838
396,12.728
397,12.463
398,12.669
399,12.919
400,13.154
401,13.985
402,14.066
403,14.537
404,15.176
405,15.397
406,15.919
407,16.081
408,16.816
409,16.824
410,16.904
411,17.118
412,17.897
413,18.728
414,19.404
415,19.015
416,20.088
417,20.419
418,20.346
419,21.397
420,21.213
421,21.309
422,21.772
423,22.169
424,22.596
425,22.757
426,22.566
427,23.368
428,23.485
429,23.500
430,23.721
431,23.603
432,23.640
433,23.875
434,24.294
435,24.191
436,24.735
437,24.978
438,24.132
439,24.846
440,24.485
441,25.412
442,25.140
443,25.213
444,24.463
445,24.507
446,25.449
447,25.919
448,25.221
449,25.324
450,26.022
451,26.360
452,26.228
453,26.515
454,27.419
455,28.015
456,27.868
457,28.559
458,28.610
459,29.441
460,29.743
461,30.684
462,31.257
463,31.618
464,32.581
465,33.478
466,34.132
467,34.824
468,35.221
469,36.022
470,36.662
471,37.051
472,37.588
473,38.735
474,39.199
475,39.699
476,40.684
477,40.809
478,42.338
479,43.154
480,43.044
481,43.088
482,44.294
483,44.382
484,44.566
485,44.794
486,44.838
487,45.816
488,45.978
489,46.728
490,45.654
491,46.544
492,46.515
493,46.346
494,46.713
495,47.801
496,48.235
497,48.118
498,48.279
499,47.750
500,47.985
501,48.743
502,48.515
503,49.324
504,48.324
505,49.596
506,50.022
507,49.331
508,50.419
509,51.118
510,51.375
511,52.368
512,51.618
513,52.397
514,52.434
515,52.801
516,54.390
517,54.088
518,55.809
519,56.801
520,56.713
521,57.324
522,58.507
523,58.757
524,60.853
525,60.963
526,60.978
527,61.728
528,63.434
529,64.382
530,64.610
531,65.125
532,66.316
533,66.500
534,67.412
535,67.551
536,68.301
537,68.721
538,69.301
539,70.199
540,70.860
541,71.243
542,70.985
543,71.412
544,72.368
545,72.743
546,73.272
547,72.794
548,72.728
549,72.735
550,73.419
551,74.184
552,73.029
553,73.140
554,72.897
555,73.081
556,73.743
557,73.728
558,74.331
559,74.647
560,74.831
561,74.324
562,74.882
563,74.890
564,75.199
565,75.441
566,76.081
567,76.250
568,76.103
569,76.441
570,77.882
571,78.515
572,79.250
573,79.213
574,80.162
575,80.787
576,80.949
577,81.846
578,82.250
579,82.816
580,83.926
581,85.338
582,85.176
583,86.081
584,86.279
585,87.368
586,89.191
587,88.662
588,89.059
589,89.507
590,90.287
591,90.471
592,91.537
593,91.794
594,92.684
595,93.199
596,93.221
597,93.022
598,93.559
599,94.537
600,93.846
601,93.838
602,94.441
603,94.632
604,94.485
605,95.309
606,94.360
607,94.493
608,95.096
609,95.801
610,94.471
611,94.757
612,95.051
613,95.066
614,94.993
615,94.934
616,94.949
617,95.419
618,96.441
619,96.301
620,96.574
621,96.699
622,96.779
623,96.926
624,97.088
625,97.500
626,98.574
627,98.096
628,99.537
629,98.963
630,98.191
631,100.243
632,100.110
633,100.875
634,101.478
635,101.463
636,103.301
637,104.316
638,103.772
639,104.022
640,104.404
641,104.765
642,105.331
643,105.743
644,106.500
645,106.515
646,106.926
647,106.566
648,107.978
649,107.213
650,108.309
651,108.088
652,107.551
653,107.618
654,108.551
655,108.228
656,108.699
657,108.493
658,108.132
659,106.750
660,108.000
661,107.897
662,107.015
663,106.618
664,106.662
665,106.757
666,106.154
667,106.279
668,106.507
669,105.801
670,105.485
671,105.456
672,105.066
673,104.904
674,104.221
675,104.074
676,105.309
677,104.772
678,104.772
679,106.228
680,105.794
681,105.191
682,105.603
683,106.022
684,105.353
685,106.463
686,107.691
687,106.794
688,107.412
689,107.074
690,107.096
691,107.081
692,107.706
693,109.272
694,108.559
695,109.706
696,110.390
697,111.309
698,111.110
699,110.353
700,110.713
701,109.846
702,110.926
703,110.978
704,111.603
705,111.103
706,110.382
707,110.654
708,111.103
709,111.257
710,110.044
711,109.037
712,108.853
713,108.000
714,108.801
715,107.897
716,108.022
717,107.434
718,105.978
719,106.162
720,105.074
721,103.478
722,104.331
723,104.015
724,102.346
725,101.309
726,102.066
727,101.456
728,100.853
729,99.728
730,99.618
731,99.743
732,100.074
733,99.294
734,99.213
735,99.706
736,97.500
737,98.360
738,99.110
739,99.066
740,100.015
741,99.316
742,98.831
743,99.559
744,100.169
745,100.551
746,99.765
747,100.206
748,101.206
749,100.853
750,102.088
751,101.265
752,102.154
753,102.426
754,100.485
755,101.228
756,101.426
757,101.772
758,101.603
759,102.441
760,101.699
761,102.169
762,100.949
763,101.044
764,100.324
765,99.574
766,98.647
767,98.522
768,96.588
769,97.596
770,96.882
771,96.007
772,95.544
773,94.801
774,94.529
775,93.662
776,92.956
777,92.044
778,90.559
779,90.007
780,89.463
781,89.074
782,87.904
783,87.647
784,86.412
