Distance_(pixels),Gray_Value
0,3.4071
1,4.0500
2,3.8643
3,3.8500
4,3.7929
5,3.6357
6,3.7857
7,3.9000
8,4.0286
9,4.0357
10,3.8929
11,3.8714
12,3.7500
13,3.6643
14,3.7929
15,3.9857
16,3.7786
17,3.9000
18,3.9571
19,3.8714
20,3.7071
21,4.2000
22,3.7286
23,4.0143
24,3.9857
25,4.0643
26,4.0429
27,4.1143
28,3.6214
29,3.9071
30,3.9286
31,3.7500
32,4.1000
33,4.3571
34,3.8143
35,4.0000
36,3.8786
37,3.8714
38,3.8929
39,3.6714
40,3.9786
41,3.8071
42,4.2286
43,3.9357
44,4.1500
45,4.1286
46,3.8143
47,4.3857
48,3.9143
49,3.7429
50,3.9000
51,3.9929
52,3.9714
53,4.1357
54,4.0214
55,3.7786
56,3.9500
57,3.8000
58,3.8500
59,4.0000
60,4.1643
61,4.1357
62,3.8286
63,4.0500
64,4.0000
65,4.2357
66,4.0714
67,4.1214
68,4.3357
69,4.0286
70,3.9214
71,3.8143
72,3.8000
73,3.9429
74,4.2214
75,4.0286
76,3.9071
77,4.0857
78,4.0286
79,3.8071
80,3.8000
81,4.0643
82,3.9500
83,3.9286
84,3.9929
85,4.0714
86,4.1500
87,3.6429
88,3.8500
89,4.0286
90,3.8786
91,3.8714
92,4.1357
93,3.9357
94,3.7500
95,3.8929
96,4.0429
97,3.7000
98,3.5143
99,3.5929
100,3.6786
101,4.0643
102,3.8071
103,3.9286
104,3.7000
105,3.6071
106,3.6857
107,4.0571
108,3.7857
109,3.5786
110,3.8357
111,3.6786
112,3.5071
113,3.8714
114,3.7143
115,3.4643
116,3.9357
117,3.7571
118,3.7929
119,3.9000
120,3.7071
121,3.6286
122,3.6643
123,3.4429
124,3.4357
125,3.5929
126,3.6214
127,3.4500
128,3.6071
129,3.5000
130,3.4429
131,3.5143
132,3.6857
133,3.7143
134,3.6571
135,3.5786
136,3.6071
137,3.5643
138,3.4929
139,3.4357
140,3.6143
141,3.6143
142,3.6429
143,3.5714
144,3.6786
145,4.0286
146,3.7929
147,3.4429
148,3.6143
149,3.7286
150,3.2786
151,3.5786
152,3.6929
153,3.4500
154,3.5286
155,3.6143
156,3.7000
157,3.6929
158,3.3429
159,3.6857
160,3.7357
161,3.6929
162,3.7500
163,3.7000
164,3.5571
165,3.6714
166,3.6929
167,3.3857
168,3.6071
169,3.6286
170,3.9571
171,3.4500
172,3.7286
173,4.0000
174,3.8071
175,3.6000
176,3.6286
177,3.4857
178,3.8357
179,3.7643
180,3.6857
181,4.0786
182,4.3071
183,3.8571
184,3.7929
185,3.7786
186,3.8714
187,4.1071
188,4.1786
189,3.8429
190,3.7714
191,3.9071
192,4.1071
193,4.1857
194,4.2571
195,4.1786
196,3.9786
197,4.2714
198,4.1786
199,4.1286
200,4.3857
201,4.3357
202,4.5000
203,4.4143
204,4.5786
205,4.9286
206,5.0714
207,4.7071
208,4.6571
209,4.5143
210,4.4714
211,4.6571
212,5.0429
213,5.0786
214,4.9143
215,5.0643
216,5.4929
217,5.0214
218,5.3286
219,5.6000
220,5.3357
221,5.8286
222,5.2500
223,5.5000
224,5.8000
225,6.0000
226,5.7714
227,5.9643
228,6.6786
229,5.8357
230,6.1143
231,6.4786
232,6.1500
233,6.4857
234,6.5429
235,6.6571
236,6.5571
237,7.0143
238,7.0500
239,7.0500
240,7.0500
241,7.3857
242,7.0571
243,7.7000
244,7.6143
245,7.9143
246,7.7071
247,7.8929
248,8.4214
249,8.2714
250,7.9714
251,8.5786
252,8.3214
253,8.3429
254,8.8000
255,8.7143
256,8.9071
257,9.1143
258,9.2714
259,9.2429
260,9.4714
261,9.5714
262,9.5786
263,9.7286
264,9.7857
265,9.8214
266,10.4143
267,10.3357
268,10.4929
269,10.5071
270,10.8929
271,10.8000
272,11.1071
273,11.6214
274,11.5357
275,11.6214
276,11.9929
277,11.9429
278,12.3286
279,12.6714
280,12.8786
281,13.0929
282,13.2143
283,13.3571
284,13.5214
285,13.3929
286,13.6571
287,14.3000
288,14.5429
289,14.9214
290,14.9786
291,14.6857
292,15.3786
293,15.6429
294,15.8214
295,15.9571
296,15.9714
297,16.9571
298,16.7500
299,17.0357
300,17.2786
301,17.7071
302,18.2357
303,18.0643
304,18.4214
305,18.5571
306,18.8929
307,18.8786
308,19.0714
309,19.6071
310,19.9571
311,19.9429
312,20.4857
313,20.3714
314,20.8714
315,20.8143
316,21.1500
317,21.3857
318,21.7714
319,21.3429
320,22.1643
321,22.1857
322,22.5571
323,22.3643
324,22.7286
325,23.1286
326,23.4000
327,24.0643
328,23.8071
329,24.0714
330,24.4786
331,24.9286
332,25.2214
333,24.5929
334,25.0143
335,25.5714
336,25.6571
337,25.9000
338,26.0143
339,25.9500
340,26.6429
341,26.6714
342,27.0857
343,27.4071
344,27.9000
345,28.3214
346,28.2643
347,28.4143
348,28.9714
349,29.5286
350,29.7857
351,30.5429
352,30.6643
353,30.8000
354,31.2571
355,31.5786
356,31.9429
357,32.9571
358,33.2143
359,33.9000
360,34.1643
361,34.7786
362,35.3786
363,35.7714
364,36.3357
365,36.8000
366,37.5286
367,37.8714
368,38.8214
369,38.6571
370,39.3857
371,40.5071
372,41.4286
373,41.7429
374,41.4786
375,42.7929
376,43.1571
377,43.6857
378,43.8214
379,44.6000
380,44.4429
381,44.9571
382,45.2786
383,45.5714
384,45.2000
385,44.9571
386,44.6071
387,44.9000
388,44.8071
389,45.0071
390,44.1214
391,44.0857
392,43.4786
393,43.8643
394,42.7929
395,42.1714
396,42.1214
397,41.2143
398,40.8429
399,40.2571
400,39.5786
401,38.8786
402,38.1214
403,37.7214
404,37.5000
405,37.3786
406,36.8714
407,36.4214
408,36.4786
409,36.9214
410,36.9214
411,36.7643
412,37.9786
413,39.2786
414,39.5071
415,40.2500
416,41.5143
417,43.1643
418,44.8000
419,46.9286
420,48.6286
421,50.8429
422,53.4071
423,55.4500
424,57.8786
425,60.7929
426,62.6286
427,64.7143
428,67.5643
429,70.5571
430,72.4214
431,74.0929
432,75.5214
433,77.1143
434,78.2286
435,79.6071
436,80.1857
437,79.2500
438,79.6143
439,79.3500
440,78.1357
441,75.7429
442,74.4571
443,71.8500
444,68.7071
445,66.3286
446,63.2857
447,59.2357
448,55.4286
449,51.2857
450,46.8000
451,42.6286
452,39.0500
453,34.7786
454,30.7071
455,27.4214
456,23.9500
457,21.3643
458,18.8000
459,17.0857
460,15.6071
461,14.8357
462,14.7357
463,15.6571
464,16.7929
465,18.4286
466,20.8929
467,24.2857
468,27.8143
469,31.8643
470,36.1714
471,41.4786
472,46.1286
473,51.8929
474,57.1143
475,62.6929
476,68.2500
477,74.1714
478,78.6786
479,82.6071
480,87.4214
481,90.8357
482,94.0000
483,96.3214
484,97.9429
485,97.9071
486,98.3500
487,97.4571
488,95.6357
489,92.1929
490,88.4786
491,84.8786
492,80.5214
493,75.9357
494,70.2643
495,65.3000
496,59.6286
497,53.8643
