Distance_(pixels),Gray_Value
0,3.3881
1,3.8284
2,3.7612
3,3.7090
4,3.7761
5,3.3582
6,3.4925
7,3.8731
8,3.8284
9,3.9552
10,3.8060
11,3.9403
12,3.6567
13,3.5373
14,3.6866
15,3.9030
16,3.7761
17,3.7463
18,3.8433
19,3.7463
20,3.6119
21,4.2537
22,3.8358
23,4.0075
24,3.8955
25,3.9030
26,3.9776
27,4.1269
28,3.6045
29,4.0224
30,3.8806
31,3.9254
32,4.1343
33,4.1791
34,3.8284
35,4.0821
36,3.6716
37,3.8731
38,3.8507
39,3.8284
40,4.0672
41,3.8134
42,4.2463
43,3.8134
44,4.1716
45,4.0522
46,3.8284
47,4.2537
48,3.8134
49,3.8209
50,3.7090
51,3.8955
52,3.9254
53,3.9851
54,3.9776
55,3.7463
56,3.9627
57,3.9254
58,3.8657
59,3.9776
60,4.3060
61,4.2463
62,3.6716
63,3.9851
64,3.9701
65,4.4254
66,4.0746
67,3.8881
68,4.1119
69,4.0373
70,4.0522
71,4.0000
72,3.7537
73,3.9478
74,4.0448
75,4.1119
76,3.9030
77,4.0970
78,4.1642
79,3.9403
80,3.7910
81,4.1343
82,4.1642
83,3.8955
84,4.0746
85,4.0746
86,4.1940
87,3.8806
88,4.1194
89,4.1493
90,4.0672
91,4.1045
92,4.1493
93,4.0746
94,3.8060
95,3.9925
96,4.3060
97,3.8955
98,3.7537
99,3.6194
100,3.8955
101,4.1045
102,4.0000
103,4.0149
104,3.8657
105,3.8134
106,3.7239
107,4.0448
108,3.7090
109,3.7463
110,3.9552
111,3.9478
112,3.8209
113,4.0075
114,4.0000
115,3.9030
116,4.1940
117,3.9179
118,4.0373
119,4.0970
120,3.9403
121,3.9328
122,3.9701
123,3.8209
124,3.6642
125,3.7836
126,3.8881
127,3.8731
128,3.9328
129,3.6791
130,3.5896
131,3.8507
132,3.8134
133,3.8358
134,4.0224
135,3.7388
136,3.8433
137,3.7761
138,3.8060
139,3.7612
140,3.9179
141,3.8582
142,3.9925
143,3.7836
144,3.8731
145,4.1119
146,4.0373
147,3.8806
148,4.0075
149,3.8881
150,3.7836
151,3.9104
152,3.9030
153,3.7985
154,3.9552
155,4.0149
156,3.9701
157,4.0746
158,3.6791
159,4.1045
160,4.0672
161,4.1493
162,4.0224
163,4.0224
164,3.6716
165,4.0224
166,4.0672
167,3.7612
168,4.1866
169,4.0224
170,4.2985
171,3.8657
172,4.1493
173,4.3806
174,4.0672
175,4.1343
176,4.0821
177,4.0597
178,4.2612
179,4.2463
180,4.0597
181,4.3284
182,4.7687
183,4.3284
184,4.2090
185,4.2761
186,4.3433
187,4.5373
188,4.5597
189,4.1940
190,4.2015
191,4.2761
192,4.4403
193,4.5970
194,4.8881
195,4.6567
196,4.5896
197,4.7985
198,4.5448
199,4.7463
200,4.9030
201,4.8806
202,5.0746
203,4.7985
204,5.0522
205,5.2239
206,5.3433
207,5.2313
208,5.2687
209,5.0075
210,5.0522
211,5.3358
212,5.5448
213,5.4552
214,5.4627
215,5.6567
216,5.8955
217,5.5373
218,5.6119
219,6.1716
220,5.7836
221,6.4179
222,5.7910
223,5.8433
224,6.1866
225,6.3134
226,6.3881
227,6.2090
228,6.8657
229,6.1791
230,6.5149
231,6.7836
232,6.4776
233,6.8955
234,6.9254
235,7.0821
236,7.0448
237,7.2985
238,7.4104
239,7.6119
240,7.5970
241,7.8582
242,7.4179
243,8.1642
244,8.0224
245,8.1940
246,7.9552
247,8.2015
248,8.9627
249,9.0448
250,8.6493
251,9.4104
252,8.7687
