x-axis,1,F1
second,Volt,
+1.290000E-06,,
+1.292600E-06,-1.125325286314E+00,+1.000012253132E+00
+1.295200E-06,-1.130435956800E+00,+1.000012253132E+00
+1.297800E-06,-1.136453505416E+00,+1.000012253132E+00
+1.300400E-06,-1.143443062502E+00,+1.000012253132E+00
+1.303000E-06,-1.148907415459E+00,+1.000012253132E+00
+1.305600E-06,-1.153997475078E+00,+1.000012253132E+00
+1.308200E-06,-1.160226903403E+00,+1.000012253132E+00
+1.310800E-06,-1.165828936948E+00,+1.000012253132E+00
+1.313400E-06,-1.172661851448E+00,+1.000012253132E+00
+1.316000E-06,-1.178883859861E+00,+1.000012253132E+00
+1.318600E-06,-1.184263296047E+00,+1.000012253132E+00
+1.321200E-06,-1.189863680724E+00,+1.000012253132E+00
+1.323800E-06,-1.195046077025E+00,+1.000012253132E+00
+1.326400E-06,-1.200875654538E+00,+1.000012253132E+00
+1.329000E-06,-1.205669742112E+00,+1.000012253132E+00
+1.331600E-06,-1.211035162909E+00,+1.000012253132E+00
+1.334200E-06,-1.216933992934E+00,+1.000012253132E+00
+1.336800E-06,-1.222442040927E+00,+1.000012253132E+00
+1.339400E-06,-1.227856103370E+00,+1.000012253132E+00
+1.342000E-06,-1.232917307775E+00,+1.000012253132E+00
+1.344600E-06,-1.237731181781E+00,+1.000012253132E+00
+1.347200E-06,-1.242819592531E+00,+1.000012253132E+00
+1.349800E-06,-1.247834628595E+00,+1.000012253132E+00
+1.352400E-06,-1.252709510767E+00,+1.000012253132E+00
+1.355000E-06,-1.258153252857E+00,+1.000012253132E+00
+1.357600E-06,-1.262506267885E+00,+1.000012253132E+00
+1.360200E-06,-1.266902153517E+00,+1.000012253132E+00
+1.362800E-06,-1.270857791037E+00,+1.000012253132E+00
+1.365400E-06,-1.274641946147E+00,+1.000012253132E+00
+1.368000E-06,-1.278558010804E+00,+1.000012253132E+00
+1.370600E-06,-1.281727962089E+00,+1.000012253132E+00
+1.373200E-06,-1.285438742514E+00,+1.000012253132E+00
+1.375800E-06,-1.289388608992E+00,+1.000012253132E+00
+1.378400E-06,-1.292490956635E+00,+1.000012253132E+00
+1.381000E-06,-1.295924727012E+00,+1.000012253132E+00
+1.383600E-06,-1.299775661330E+00,+1.000012253132E+00
+1.386200E-06,-1.302612541011E+00,+1.000012253132E+00
+1.388800E-06,-1.306847661883E+00,+1.000012253132E+00
+1.391400E-06,-1.310949224339E+00,+1.000012253132E+00
+1.394000E-06,-1.314404430018E+00,+1.000012253132E+00
+1.396600E-06,-1.317662595812E+00,+1.000012253132E+00
+1.399200E-06,-1.321270321904E+00,+1.000012253132E+00
+1.401800E-06,-1.324008269425E+00,+1.000012253132E+00
+1.404400E-06,-1.327253244265E+00,+1.000012253132E+00
+1.407000E-06,-1.330031589084E+00,+1.000012253132E+00
+1.409600E-06,-1.333030057959E+00,+1.000012253132E+00
+1.412200E-06,-1.335783669739E+00,+1.000012253132E+00
+1.414800E-06,-1.338607358465E+00,+1.000012253132E+00
+1.417400E-06,-1.340209235018E+00,+1.000012253132E+00
+1.420000E-06,-1.343605905836E+00,+1.000012253132E+00
+1.422600E-06,-1.345460059396E+00,+1.000012253132E+00
+1.425200E-06,-1.347681086383E+00,+1.000012253132E+00
+1.427800E-06,-1.349926021974E+00,+1.000012253132E+00
+1.430400E-06,-1.351601273213E+00,+1.000012253132E+00
+1.433000E-06,-1.353816529156E+00,+1.000012253132E+00
+1.435600E-06,-1.355447260923E+00,+1.000012253132E+00
+1.438200E-06,-1.356958449663E+00,+1.000012253132E+00
+1.440800E-06,-1.358936268423E+00,+1.000012253132E+00
+1.443400E-06,-1.360878636493E+00,+1.000012253132E+00
+1.446000E-06,-1.361698124549E+00,+1.000012253132E+00
+1.448600E-06,-1.362441764617E+00,+1.000012253132E+00
+1.451200E-06,-1.363556400283E+00,+1.000012253132E+00
+1.453800E-06,-1.364353628604E+00,+1.000012253132E+00
+1.456400E-06,-1.366306714324E+00,+1.000012253132E+00
+1.459000E-06,-1.367032216829E+00,+1.000012253132E+00
+1.461600E-06,-1.368601940430E+00,+1.000012253132E+00
+1.464200E-06,-1.368982829245E+00,+1.000012253132E+00
+1.466800E-06,-1.369301885460E+00,+1.000012253132E+00
+1.469400E-06,-1.370004303794E+00,+1.000012253132E+00
+1.472000E-06,-1.370973014525E+00,+1.000012253132E+00
+1.474600E-06,-1.371297841783E+00,+1.000012253132E+00
+1.477200E-06,-1.372240995039E+00,+1.000012253132E+00
+1.479800E-06,-1.372803259480E+00,+1.000012253132E+00
+1.482400E-06,-1.372273972426E+00,+1.000012253132E+00
+1.485000E-06,-1.372382797801E+00,+1.000012253132E+00
+1.487600E-06,-1.373093460482E+00,+1.000012253132E+00
+1.490200E-06,-1.371965633861E+00,+1.000012253132E+00
+1.492800E-06,-1.372287163380E+00,+1.000012253132E+00
+1.495400E-06,-1.372580662121E+00,+1.000012253132E+00
+1.498000E-06,-1.371793327016E+00,+1.000012253132E+00
+1.500600E-06,-1.371155214586E+00,+1.000012253132E+00
+1.503200E-06,-1.371034022690E+00,+1.000012253132E+00
+1.505800E-06,-1.370148579861E+00,+1.000012253132E+00
+1.508400E-06,-1.370240092108E+00,+1.000012253132E+00
+1.511000E-06,-1.369600330809E+00,+1.000012253132E+00
+1.513600E-06,-1.368230120396E+00,+1.000012253132E+00
+1.516200E-06,-1.368476626361E+00,+1.000012253132E+00
+1.518800E-06,-1.367045407783E+00,+1.000012253132E+00
+1.521400E-06,-1.365434462449E+00,+1.000012253132E+00
+1.524000E-06,-1.364575401528E+00,+1.000012253132E+00
+1.526600E-06,-1.363456643689E+00,+1.000012253132E+00
+1.529200E-06,-1.362158983527E+00,+1.000012253132E+00
+1.531800E-06,-1.361351861990E+00,+1.000012253132E+00
+1.534400E-06,-1.359243782553E+00,+1.000012253132E+00
+1.537000E-06,-1.357246177361E+00,+1.000012253132E+00
+1.539600E-06,-1.356581683021E+00,+1.000012253132E+00
+1.542200E-06,-1.353922056793E+00,+1.000012253132E+00
+1.544800E-06,-1.352814841039E+00,+1.000012253132E+00
+1.547400E-06,-1.351602922082E+00,+1.000012253132E+00
+1.550000E-06,-1.348931753769E+00,+1.000012253132E+00
+1.552600E-06,-1.347077600208E+00,+1.000012253132E+00
+1.555200E-06,-1.345075048408E+00,+1.000012253132E+00
+1.557800E-06,-1.342433559743E+00,+1.000012253132E+00
+1.560400E-06,-1.340717911206E+00,+1.000012253132E+00
+1.563000E-06,-1.338296546596E+00,+1.000012253132E+00
+1.565600E-06,-1.334817432312E+00,+1.000012253132E+00
+1.568200E-06,-1.332692864181E+00,+1.000012253132E+00
+1.570800E-06,-1.330050551082E+00,+1.000012253132E+00
+1.573400E-06,-1.327320847907E+00,+1.000012253132E+00
+1.576000E-06,-1.324244057739E+00,+1.000012253132E+00
+1.578600E-06,-1.320149915195E+00,+1.000012253132E+00
+1.581200E-06,-1.317095384763E+00,+1.000012253132E+00
+1.583800E-06,-1.313938624432E+00,+1.000012253132E+00
+1.586400E-06,-1.309791718070E+00,+1.000012253132E+00
+1.589000E-06,-1.306498101585E+00,+1.000012253132E+00
+1.591600E-06,-1.302891199928E+00,+1.000012253132E+00
+1.594200E-06,-1.299054280999E+00,+1.000012253132E+00
+1.596800E-06,-1.296102804900E+00,+1.000012253132E+00
+1.599400E-06,-1.292678927738E+00,+1.000012253132E+00
+1.602000E-06,-1.288888177151E+00,+1.000012253132E+00
